fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.8,0.5,0.3,1.9,0.075,Medium,22,Medium,Normal,0.56,10.4,Fine
8.1,0.545,0.18,1.9,0.08,Medium,35,High,Normal,0.59,9,Fine
8.1,0.575,0.22,2.1,0.077,Medium,65,Medium,Normal,0.51,9.2,Decent
7.2,0.49,0.24,2.2,0.07,Low,36,Medium,Normal,0.48,9.4,Decent
8.1,0.575,0.22,2.1,0.077,Medium,65,Medium,Normal,0.51,9.2,Decent
7.8,0.41,0.68,1.7,0.467,High,69,High,Very Accidic,1.31,9.3,Decent
6.2,0.63,0.31,1.7,0.088,High,64,High,Normal,0.79,9.3,Decent
8,0.33,0.53,2.5,0.091,High,80,High,Normal,0.8,9.6,Fine
8.1,0.785,0.52,2,0.122,Unknown,153,High,Normal,0.69,9.3,Decent
7.8,0.56,0.19,1.8,0.104,Medium,47,Medium,Normal,0.93,9.5,Decent
8.4,0.62,0.09,2.2,0.084,Medium,108,Medium,Normal,0.66,9.8,Decent
8.4,0.6,0.1,2.2,0.085,Medium,111,Medium,Normal,0.66,9.8,Decent
10.1,0.31,0.44,2.3,0.08,Unknown,46,Very High,Normal,0.67,9.7,Fine
7.8,0.56,0.19,1.8,0.104,Medium,47,Medium,Normal,0.93,9.5,Decent
9.4,0.4,0.31,2.2,0.09,Medium,62,Medium,Very Accidic,0.63,10.5,Fine
8.3,0.54,0.28,1.9,0.077,Medium,40,High,Normal,0.61,10,Fine
7.8,0.56,0.12,2,0.082,Low,28,High,Normal,0.5,9.4,Fine
8.8,0.55,0.04,2.2,0.119,Medium,56,Medium,Normal,0.6,10.9,Fine
7,0.69,0.08,1.8,0.097,Unknown,89,Medium,Normal,0.54,9.2,Fine
7.3,1.07,0.09,1.7,0.178,Medium,89,Medium,Normal,0.57,9,Decent
8.8,0.55,0.04,2.2,0.119,Medium,56,Medium,Normal,0.6,10.9,Fine
7.3,0.695,0,2.5,0.075,Low,13,Very High,Normal,0.52,9.2,Decent
8,0.71,0,2.6,0.08,Medium,34,High,Normal,0.53,9.5,Decent
7.8,0.5,0.17,1.6,0.082,High,102,Medium,Normal,0.48,9.5,Decent
9,0.62,0.04,1.9,0.146,Unknown,90,Very High,Normal,0.7,9.4,Decent
8.2,1.33,0,1.7,0.081,Low,12,Medium,Very Basic,0.49,10.9,Decent
8.1,1.33,0,1.8,0.082,Low,12,Medium,Very Basic,0.48,10.9,Decent
8,0.59,0.16,1.8,0.065,Low,16,Medium,Normal,0.92,10.5,Good
6.1,0.38,0.15,1.8,0.072,Low,19,Low,Normal,0.57,9.4,Decent
8,0.745,0.56,2,0.118,Unknown,134,High,Normal,0.66,9.4,Decent
5.6,0.5,0.09,2.3,0.049,High,99,Low,Unknown,0.63,13,Decent
5.6,0.5,0.09,2.3,0.049,High,99,Low,Unknown,0.63,13,Decent
6.6,0.5,0.01,1.5,0.06,High,26,Low,Normal,0.58,9.8,Fine
7.9,1.04,0.05,2.2,0.084,Medium,29,Medium,Normal,0.55,9.9,Fine
8.4,0.745,0.11,1.9,0.09,High,63,Medium,Normal,0.82,9.6,Decent
8.3,0.715,0.15,1.8,0.089,Medium,52,High,Normal,0.77,9.5,Decent
7.2,0.415,0.36,2,0.081,Medium,45,High,Normal,0.64,9.2,Decent
7.8,0.56,0.19,2.1,0.081,High,105,Medium,Normal,0.54,9.5,Decent
7.8,0.56,0.19,2,0.081,High,108,Medium,Normal,0.54,9.5,Decent
8.4,0.745,0.11,1.9,0.09,High,63,Medium,Normal,0.82,9.6,Decent
8.3,0.715,0.15,1.8,0.089,Medium,52,High,Normal,0.77,9.5,Decent
5.2,0.34,0,1.8,0.05,Unknown,63,Low,Unknown,0.79,14,Fine
6.3,0.39,0.08,1.7,0.066,Low,20,Low,Normal,0.58,9.4,Decent
5.2,0.34,0,1.8,0.05,Unknown,63,Low,Unknown,0.79,14,Fine
8.1,0.67,0.55,1.8,0.117,Unknown,141,High,Normal,0.62,9.4,Decent
5.8,0.68,0.02,1.8,0.087,High,94,Low,Very Basic,0.52,10,Decent
7.6,0.49,0.26,1.6,0.236,Medium,88,High,Very Accidic,0.8,9.3,Decent
6.9,0.49,0.1,2.3,0.074,Medium,30,Medium,Normal,0.58,10.2,Fine
8.2,0.4,0.44,2.8,0.089,Medium,43,High,Very Basic,0.61,10.5,Fine
7.3,0.33,0.47,2.1,0.077,Low,11,Medium,Normal,0.53,10.3,Fine
9.2,0.52,1,3.4,0.61,Unknown,69,Very High,Very Accidic,2,9.4,Fair
7.5,0.6,0.03,1.8,0.095,Unknown,99,Low,Normal,0.54,10.1,Decent
7.5,0.6,0.03,1.8,0.095,Unknown,99,Low,Normal,0.54,10.1,Decent
7.1,0.43,0.42,5.5,0.07,Unknown,129,High,Normal,0.72,10.5,Decent
7.1,0.43,0.42,5.5,0.071,Unknown,128,High,Normal,0.71,10.5,Decent
7.1,0.43,0.42,5.5,0.07,Unknown,129,High,Normal,0.72,10.5,Decent
7.1,0.43,0.42,5.5,0.071,Unknown,128,High,Normal,0.71,10.5,Decent
7.1,0.68,0,2.2,0.073,Medium,22,High,Normal,0.5,9.3,Decent
6.8,0.6,0.18,1.9,0.079,High,86,High,Very Basic,0.57,9.3,Fine
7.6,0.95,0.03,2,0.09,Low,20,Medium,Normal,0.56,9.6,Decent
7.6,0.68,0.02,1.3,0.072,Medium,20,Medium,Normal,1.08,9.2,Fair
7.8,0.53,0.04,1.7,0.076,High,31,Medium,Normal,0.56,10,Fine
7.4,0.6,0.26,7.3,0.07,Unknown,121,Very High,Normal,0.49,9.4,Decent
7.3,0.59,0.26,7.2,0.07,Unknown,121,Very High,Normal,0.49,9.4,Decent
7.8,0.63,0.48,1.7,0.1,Medium,96,Medium,Normal,0.62,9.5,Decent
6.8,0.64,0.1,2.1,0.085,High,101,Low,Normal,0.52,10.2,Decent
7.3,0.55,0.03,1.6,0.072,High,42,Low,Normal,0.48,9,Fair
6.8,0.63,0.07,2.1,0.089,Medium,44,Low,Normal,0.55,10.4,Fine
7.5,0.705,0.24,1.8,0.36,High,63,Medium,Very Accidic,1.59,9.5,Decent
7.9,0.885,0.03,1.8,0.058,Low,8,High,Normal,0.33,9.1,Fair
8,0.42,0.17,2,0.073,Low,18,High,Normal,0.61,9.2,Fine
8,0.42,0.17,2,0.073,Low,18,High,Normal,0.61,9.2,Fine
7.4,0.62,0.05,1.9,0.068,Unknown,42,Medium,Normal,0.57,11.5,Fine
7.3,0.38,0.21,2,0.08,Low,35,Medium,Normal,0.47,9.5,Decent
6.9,0.5,0.04,1.5,0.085,High,49,Medium,Normal,0.78,9.5,Decent
7.3,0.38,0.21,2,0.08,Low,35,Medium,Normal,0.47,9.5,Decent
7.5,0.52,0.42,2.3,0.087,Medium,38,High,Very Basic,0.61,10.5,Fine
7,0.805,0,2.5,0.068,Low,20,High,Normal,0.56,9.6,Decent
8.8,0.61,0.14,2.4,0.067,Medium,42,High,Normal,0.59,9.5,Decent
8.8,0.61,0.14,2.4,0.067,Medium,42,High,Normal,0.59,9.5,Decent
8.9,0.61,0.49,2,0.27,Unknown,110,High,Very Accidic,1.02,9.3,Decent
7.2,0.73,0.02,2.5,0.076,High,42,High,Normal,0.52,9.3,Decent
6.8,0.61,0.2,1.8,0.077,Medium,65,High,Very Basic,0.58,9.3,Decent
6.7,0.62,0.21,1.9,0.079,Medium,62,High,Very Basic,0.58,9.3,Fine
8.9,0.31,0.57,2,0.111,Unknown,85,High,Normal,0.53,9.7,Decent
7.4,0.39,0.48,2,0.082,Medium,67,High,Normal,0.55,9.2,Decent
7.7,0.705,0.1,2.6,0.084,Medium,26,High,Normal,0.49,9.7,Decent
7.9,0.5,0.33,2,0.084,High,143,High,Normal,0.55,9.5,Decent
7.9,0.49,0.32,1.9,0.082,High,144,High,Normal,0.55,9.5,Decent
8.2,0.5,0.35,2.9,0.077,High,127,High,Normal,0.62,9.4,Decent
6.4,0.37,0.25,1.9,0.074,High,49,High,Very Basic,0.62,9.8,Fine
6.8,0.63,0.12,3.8,0.099,High,126,High,Normal,0.61,9.5,Decent
7.6,0.55,0.21,2.2,0.071,Low,28,Medium,Normal,0.55,9.7,Decent
7.6,0.55,0.21,2.2,0.071,Low,28,Medium,Normal,0.55,9.7,Decent
7.8,0.59,0.33,2,0.074,Unknown,120,High,Normal,0.54,9.4,Decent
7.3,0.58,0.3,2.4,0.074,High,55,High,Normal,0.59,10.2,Decent
11.5,0.3,0.6,2,0.067,Medium,27,Very High,Very Accidic,0.97,10.1,Fine
5.4,0.835,0.08,1.2,0.046,Medium,93,Low,Very Basic,0.85,13,Good
6.9,1.09,0.06,2.1,0.061,Medium,31,Low,Very Basic,0.43,11.4,Fair
9.6,0.32,0.47,1.4,0.056,Medium,24,High,Normal,0.82,10.3,Good
8.8,0.37,0.48,2.1,0.097,Unknown,145,High,Very Accidic,1.03,9.3,Decent
6.8,0.5,0.11,1.5,0.075,High,49,Low,Normal,0.79,9.5,Decent
7,0.42,0.35,1.6,0.088,High,39,Medium,Normal,0.55,9.2,Decent
7,0.43,0.36,1.6,0.089,Medium,37,Medium,Normal,0.56,9.2,Fine
12.8,0.3,0.74,2.6,0.095,Medium,28,Very High,Normal,0.77,10.8,Good
12.8,0.3,0.74,2.6,0.095,Medium,28,Very High,Normal,0.77,10.8,Good
7.8,0.57,0.31,1.8,0.069,Unknown,120,Medium,Normal,0.53,9.3,Decent
7.8,0.44,0.28,2.7,0.1,High,95,Medium,Normal,0.67,9.4,Decent
11,0.3,0.58,2.1,0.054,Low,19,Very High,Normal,0.88,10.5,Good
9.7,0.53,0.6,2,0.039,Low,19,Medium,Normal,0.86,12.4,Fine
8,0.725,0.24,2.8,0.083,Medium,62,High,Normal,0.56,10,Fine
11.6,0.44,0.64,2.1,0.059,Low,15,Very High,Normal,0.67,10.2,Fine
8.2,0.57,0.26,2.2,0.06,Unknown,65,Medium,Normal,0.43,10.1,Decent
7.8,0.735,0.08,2.4,0.092,Medium,41,High,Normal,0.71,9.8,Fine
7,0.49,0.49,5.6,0.06,Unknown,121,High,Normal,0.76,10.5,Decent
8.7,0.625,0.16,2,0.101,Medium,49,Medium,Normal,0.57,11,Decent
8.1,0.725,0.22,2.2,0.072,Medium,41,Medium,Normal,0.55,9.1,Decent
7.5,0.49,0.19,1.9,0.076,Medium,44,Medium,Normal,0.54,9.7,Decent
7.8,0.53,0.33,2.4,0.08,Unknown,144,Medium,Normal,0.6,9.5,Decent
7.8,0.34,0.37,2,0.082,Unknown,58,Medium,Normal,0.59,9.4,Fine
7.4,0.53,0.26,2,0.101,High,72,Medium,Normal,0.57,9.4,Decent
6.8,0.61,0.04,1.5,0.057,Low,10,Low,Normal,0.6,9.5,Decent
8.6,0.645,0.25,2,0.083,Medium,28,Very High,Normal,0.6,10,Fine
8.4,0.635,0.36,2,0.089,High,55,High,Normal,0.57,10.4,Fair
7.7,0.43,0.25,2.6,0.073,Unknown,63,Medium,Normal,0.58,10.5,Fine
8.9,0.59,0.5,2,0.337,Unknown,81,Medium,Very Accidic,1.61,9.5,Fine
9,0.82,0.14,2.6,0.089,Medium,23,Very High,Normal,0.63,9.8,Decent
7.7,0.43,0.25,2.6,0.073,Unknown,63,Medium,Normal,0.58,10.5,Fine
6.9,0.52,0.25,2.6,0.081,Medium,37,High,Normal,0.5,11,Decent
5.2,0.48,0.04,1.6,0.054,High,106,Low,Very Basic,0.62,12.2,Good
8,0.38,0.06,1.8,0.078,Medium,49,Medium,Normal,0.52,9.9,Fine
8.5,0.37,0.2,2.8,0.09,High,58,Very High,Normal,0.7,9.6,Fine
6.9,0.52,0.25,2.6,0.081,Medium,37,High,Normal,0.5,11,Decent
8.2,1,0.09,2.3,0.065,Low,37,High,Normal,0.55,9,Fine
7.2,0.63,0,1.9,0.097,Medium,38,Medium,Normal,0.58,9,Fine
7.2,0.63,0,1.9,0.097,Medium,38,Medium,Normal,0.58,9,Fine
7.2,0.645,0,1.9,0.097,High,39,Medium,Normal,0.58,9.2,Fine
7.2,0.63,0,1.9,0.097,Medium,38,Medium,Normal,0.58,9,Fine
8.2,1,0.09,2.3,0.065,Low,37,High,Normal,0.55,9,Fine
8.9,0.635,0.37,1.7,0.263,Low,62,High,Very Accidic,1.09,9.3,Decent
12,0.38,0.56,2.1,0.093,Low,24,Very High,Normal,0.71,10.9,Fine
7.7,0.58,0.1,1.8,0.102,Unknown,109,Medium,Very Accidic,0.49,9.8,Fine
15,0.21,0.44,2.2,0.075,Medium,24,Very High,Very Accidic,0.84,9.2,Good
15,0.21,0.44,2.2,0.075,Medium,24,Very High,Very Accidic,0.84,9.2,Good
7.3,0.66,0,2,0.084,Low,23,Very High,Very Basic,0.96,9.9,Fine
7.1,0.68,0.07,1.9,0.075,High,51,High,Normal,0.52,9.5,Decent
8.2,0.6,0.17,2.3,0.072,Medium,73,Medium,Normal,0.45,9.3,Decent
7.7,0.53,0.06,1.7,0.074,Medium,39,Medium,Normal,0.48,9.8,Fine
7.3,0.66,0,2,0.084,Low,23,Very High,Very Basic,0.96,9.9,Fine
10.8,0.32,0.44,1.6,0.063,High,37,Very High,Normal,0.78,10,Fine
7.1,0.6,0,1.8,0.074,High,34,High,Normal,0.7,9.9,Fine
11.1,0.35,0.48,3.1,0.09,Low,21,Very High,Normal,0.53,10.5,Decent
7.7,0.775,0.42,1.9,0.092,Medium,86,Medium,Normal,0.59,9.5,Decent
7.1,0.6,0,1.8,0.074,High,34,High,Normal,0.7,9.9,Fine
8,0.57,0.23,3.2,0.073,High,119,Medium,Normal,0.57,9.3,Decent
9.4,0.34,0.37,2.2,0.075,Low,13,Very High,Normal,0.62,9.2,Decent
6.6,0.695,0,2.1,0.075,Medium,56,High,Normal,0.67,9.2,Decent
7.7,0.41,0.76,1.8,0.611,Medium,45,High,Very Accidic,1.26,9.4,Decent
10,0.31,0.47,2.6,0.085,Medium,33,Very High,Normal,0.8,10.5,Good
7.9,0.33,0.23,1.7,0.077,High,45,Medium,Normal,0.65,9.3,Decent
7,0.975,0.04,2,0.087,Medium,67,Medium,Normal,0.6,9.4,Fair
8,0.52,0.03,1.7,0.07,Medium,35,Medium,Normal,0.57,10,Decent
7.9,0.37,0.23,1.8,0.077,Unknown,49,Medium,Normal,0.67,9.3,Decent
12.5,0.56,0.49,2.4,0.064,Low,27,Very High,Very Accidic,0.87,10.9,Decent
11.8,0.26,0.52,1.8,0.071,Low,10,High,Normal,0.72,10.2,Good
8.1,0.87,0,3.3,0.096,Unknown,61,Very High,Very Basic,0.72,9.8,Fair
7.9,0.35,0.46,3.6,0.078,High,37,High,Normal,0.86,12.8,Great
6.9,0.54,0.04,3,0.077,Low,27,Very High,Unknown,0.91,9.4,Fine
11.5,0.18,0.51,4,0.104,Low,23,Very High,Normal,0.97,10.1,Fine
7.9,0.545,0.06,4,0.087,Unknown,61,Medium,Normal,0.67,10.7,Fine
11.5,0.18,0.51,4,0.104,Low,23,Very High,Normal,0.97,10.1,Fine
10.9,0.37,0.58,4,0.071,High,65,Very High,Normal,0.78,10.1,Decent
8.4,0.715,0.2,2.4,0.076,Medium,38,High,Normal,0.64,9.4,Decent
7.5,0.65,0.18,7,0.088,Unknown,94,Very High,Normal,0.77,9.4,Decent
7.9,0.545,0.06,4,0.087,Unknown,61,Medium,Normal,0.67,10.7,Fine
6.9,0.54,0.04,3,0.077,Low,27,Very High,Unknown,0.91,9.4,Fine
11.5,0.18,0.51,4,0.104,Low,23,Very High,Normal,0.97,10.1,Fine
10.3,0.32,0.45,6.4,0.073,Low,13,High,Normal,0.82,12.6,Great
8.9,0.4,0.32,5.6,0.087,Medium,47,Very High,Normal,0.77,10.5,Good
11.4,0.26,0.44,3.6,0.071,Low,19,Very High,Very Accidic,0.82,9.3,Fine
7.7,0.27,0.68,3.5,0.358,Low,10,High,Normal,1.08,9.9,Good
7.6,0.52,0.12,3,0.067,Medium,53,High,Normal,0.57,9.1,Decent
8.9,0.4,0.32,5.6,0.087,Medium,47,Very High,Normal,0.77,10.5,Good
9.9,0.59,0.07,3.4,0.102,Unknown,71,Very High,Normal,0.71,9.8,Decent
9.9,0.59,0.07,3.4,0.102,Unknown,71,Very High,Normal,0.71,9.8,Decent
12,0.45,0.55,2,0.073,Unknown,49,Very High,Very Accidic,0.76,10.3,Fine
7.5,0.4,0.12,3,0.092,Unknown,53,Medium,Normal,0.7,10.3,Fine
8.7,0.52,0.09,2.5,0.091,High,49,High,Normal,0.86,10.6,Good
11.6,0.42,0.53,3.3,0.105,Unknown,98,Very High,Normal,0.95,9.2,Decent
8.7,0.52,0.09,2.5,0.091,High,49,High,Normal,0.86,10.6,Good
11,0.2,0.48,2,0.343,Low,18,Very High,Normal,0.71,10.5,Decent
10.4,0.55,0.23,2.7,0.091,High,48,Very High,Normal,0.64,10.3,Fine
6.9,0.36,0.25,2.4,0.098,Low,16,Medium,Normal,0.6,10.1,Fine
13.3,0.34,0.52,3.2,0.094,High,53,Very High,Very Accidic,0.81,9.5,Fine
10.8,0.5,0.46,2.5,0.073,Low,27,Very High,Very Accidic,0.64,9.5,Decent
10.6,0.83,0.37,2.6,0.086,Unknown,70,Very High,Normal,0.52,9.9,Decent
7.1,0.63,0.06,2,0.083,Medium,29,Very High,Unknown,0.73,9.6,Decent
7.2,0.65,0.02,2.3,0.094,Low,31,Very High,Unknown,0.8,9.7,Decent
6.9,0.67,0.06,2.1,0.08,Medium,33,Very High,Unknown,0.71,9.6,Decent
7.5,0.53,0.06,2.6,0.086,High,44,Medium,Normal,0.59,10.7,Fine
11.1,0.18,0.48,1.5,0.068,Low,15,High,Normal,0.64,10.1,Fine
8.3,0.705,0.12,2.6,0.092,Medium,28,Very High,Very Basic,0.72,10,Decent
7.4,0.67,0.12,1.6,0.186,Low,21,Medium,Normal,0.54,9.5,Decent
8.4,0.65,0.6,2.1,0.112,Medium,90,High,Normal,0.52,9.2,Decent
10.3,0.53,0.48,2.5,0.063,Low,25,Very High,Very Accidic,0.59,9.3,Fine
7.6,0.62,0.32,2.2,0.082,Low,54,Medium,Normal,0.52,9.4,Decent
10.3,0.41,0.42,2.4,0.213,Low,14,Very High,Normal,0.62,9.5,Fine
10.3,0.43,0.44,2.4,0.214,Low,12,Very High,Normal,0.63,9.5,Fine
7.4,0.29,0.38,1.7,0.062,Medium,30,High,Normal,0.53,9.5,Fine
10.3,0.53,0.48,2.5,0.063,Low,25,Very High,Very Accidic,0.59,9.3,Fine
7.9,0.53,0.24,2,0.072,High,105,Medium,Normal,0.54,9.4,Fine
9,0.46,0.31,2.8,0.093,High,98,Very High,Normal,0.63,9.5,Fine
8.6,0.47,0.3,3,0.076,Unknown,135,High,Normal,0.53,9.4,Decent
