Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,2,0,0,2,0,HIGH,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,HIGH,Feb,1,1,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,3,0,NORMAL,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,1,0,1,0,LOW,Feb,4,1,1,5,Returning_Visitor,TRUE,FALSE
0,0,0,0,4,1,0,1,0,HIGH,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,0,0,1,0,LOW,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,1,0.016666667,2,0,LOW,Feb,3,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,HIGH,Feb,2,2,2,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,1,0.057142857,3,0,LOW,Feb,2,2,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,1,0.028571429,1,0,NORMAL,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,1,0,0,0,LOW,Feb,1,1,4,2,Returning_Visitor,FALSE,FALSE
2,36,0,0,15,1,0,0,0,NORMAL,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,0,0,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,1,0,0,0,LOW,Feb,2,2,1,5,New_Visitor,FALSE,FALSE
0,0,0,0,27,1,0.003703704,1,0,HIGH,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,NORMAL,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0.05,3,0,NORMAL,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0,1,0,HIGH,Feb,1,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,1,0,7,0,0.038095238,3,0,HIGH,Feb,2,4,1,7,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,1,0.004166667,2,0,LOW,Feb,3,2,3,4,Returning_Visitor,FALSE,FALSE
3,1833333333,0,0,38,1,0,0,0,NORMAL,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE
4,61,0,0,19,1,0,1,1753595893,HIGH,Feb,1,1,7,4,Returning_Visitor,TRUE,TRUE
0,0,0,0,6,1,0,2,0,NORMAL,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
2,31,1,16,36,1,0,0,0,HIGH,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE
3,58.5,0,0,17,1,0.007058824,1,0,LOW,Feb,1,1,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.15,3,0,LOW,Feb,1,1,7,2,Returning_Visitor,FALSE,FALSE
0,0,1,0,9,1,0.044444444,3,0,HIGH,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,1,0.05,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.05,3,0,HIGH,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE
6,326.25,4,94,128,1,0.000854701,1,0,LOW,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,1,0,1,0,HIGH,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0.2,3,0,NORMAL,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,HIGH,Feb,1,1,2,3,Returning_Visitor,FALSE,FALSE
2,22,0,0,25,1,0.008,1,0,NORMAL,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,1,93,30,1,0.012903226,2,0,NORMAL,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,1,0,0,0,LOW,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,21,1,0,0,0,HIGH,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,1,0.018181818,1,0,NORMAL,Feb,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,0,0,3,0,LOW,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0,3,0,LOW,Feb,2,4,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0,2,0,LOW,Feb,2,4,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0,2,0,HIGH,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,2,75,14,1,0,2,0,HIGH,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,3,0,LOW,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,1,0.028,3,0,LOW,Feb,2,4,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1,0,2,0,NORMAL,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,1,0,2,0,NORMAL,Feb,1,1,8,3,Returning_Visitor,FALSE,FALSE
4,462,0,0,51,1,0,0,0,HIGH,Feb,2,2,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.133333333,3,0,LOW,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,1,0,3,0,LOW,Feb,2,6,1,2,Returning_Visitor,TRUE,FALSE
2,20,0,0,16,1,0,1,0,LOW,Feb,2,2,1,6,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0,0,0,HIGH,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE
6,111.5,0,0,26,1,0,1,0,HIGH,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0,2,0,LOW,Feb,3,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1,0.005555556,2,0,LOW,Feb,2,4,5,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,3,0,LOW,Feb,2,4,1,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.05,3,0,NORMAL,Feb,2,2,1,4,Returning_Visitor,FALSE,FALSE
4,103625,0,0,14,1,0,1,0,NORMAL,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,2,2,7,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1,0,0,0,NORMAL,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE
3,19,0,0,8,1,0,0,0,LOW,Feb,2,4,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,1,19,10,1,0,0,0,LOW,Feb,2,2,3,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,1,0.066666667,3,0,NORMAL,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,1,0,2,0,LOW,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,1,0,2,0,LOW,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,1,0.007142857,2,0,LOW,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,1,0,1,0,HIGH,Feb,2,2,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1,0.0075,1,0,LOW,Feb,1,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,NORMAL,Feb,2,2,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0.1,3,0,LOW,Feb,2,5,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,1,0,1,0,NORMAL,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1,0,1,0,LOW,Feb,2,6,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,21,1,0.033333333,2,0,LOW,Feb,3,2,2,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,3,3,3,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,6,0,0,2,0,HIGH,Feb,1,1,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,1,0.008695652,1,0,HIGH,Feb,1,1,4,2,Returning_Visitor,FALSE,FALSE
2,58,2,22,31,1,0.03030303,2,0,LOW,Feb,1,1,1,1,Returning_Visitor,TRUE,FALSE
1,9.5,0,0,23,1,0.015217391,0,0,LOW,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,6,1,0,1,0,NORMAL,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,1,0.008695652,0,0,HIGH,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,0,0,2,0,LOW,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,0,0,2,0,LOW,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,0,0.086666667,3,0,LOW,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,1,0.018181818,3,0,LOW,Feb,2,4,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1,0,0,0,HIGH,Feb,3,2,7,4,Returning_Visitor,TRUE,FALSE
1,0,0,0,15,1,0,1,0,HIGH,Feb,1,1,2,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,17,1,0.011111111,2,0,LOW,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.066666667,3,0,HIGH,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,HIGH,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE
5,41.3,0,0,24,1,0,0,0,HIGH,Feb,2,2,8,1,Returning_Visitor,TRUE,FALSE
3,87,0,0,10,1,0,0,0,LOW,Feb,1,1,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,1,0,0,0,LOW,Feb,1,1,6,2,Returning_Visitor,FALSE,FALSE
1,0,0,0,21,1,0.010743802,2,0,LOW,Feb,1,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0.033333333,2,0,HIGH,Feb,1,1,6,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,1,0,0,0,LOW,Feb,3,2,6,2,Returning_Visitor,TRUE,FALSE
0,-1,0,-1,1,0,0.2,3,0,HIGH,Feb,4,2,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1,0.008333333,1,0,HIGH,Feb,3,2,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,15,2,0,0,54.98,LOW,May,3,2,4,4,Returning_Visitor,FALSE,TRUE
0,0,0,0,24,3,0,0,0,HIGH,May,3,2,1,2,Returning_Visitor,FALSE,FALSE
2,254,1,39,95,3,0.004123711,0,5638103093,LOW,May,2,2,1,6,Returning_Visitor,FALSE,TRUE
0,0,0,0,4,1,0.05,3,0,LOW,May,2,2,4,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,77,3,0.002040816,1,0,HIGH,May,2,2,3,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,130,3,0.006153846,0,0,LOW,May,3,2,6,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,May,1,1,1,3,Returning_Visitor,FALSE,FALSE
5,8566666667,0,0,25,3,0,0,1151923077,LOW,May,2,2,1,2,New_Visitor,FALSE,TRUE
3,154.5,0,0,21,3,0,2,0,LOW,May,2,5,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,3,0.030769231,1,0,LOW,May,1,2,5,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,3,0.011764706,3,0,HIGH,May,2,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,0,0.155555556,3,0,LOW,May,1,1,1,3,Returning_Visitor,TRUE,FALSE
7,598,3,144.5,83,3,0.011512297,2,0,NORMAL,May,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.2,3,0,HIGH,May,1,1,1,3,Returning_Visitor,FALSE,FALSE
1,3,0,0,28,1,0,0,0,LOW,May,4,2,1,3,New_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,May,1,1,1,6,Returning_Visitor,FALSE,FALSE
1,7,0,0,151,2,0.00917226,1,0,HIGH,May,1,1,1,15,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,3,0.008333333,1,146895,HIGH,May,2,5,1,5,Returning_Visitor,FALSE,TRUE
3,2269545455,0,0,57,3,0.003333333,1,0,LOW,May,2,2,1,13,Returning_Visitor,FALSE,FALSE
6,9788235294,2,9,58,1,0.008357771,2,67485,LOW,May,2,2,7,4,Returning_Visitor,FALSE,TRUE
4,515.6,0,0,77,2,0,0,0,LOW,May,2,2,4,2,Returning_Visitor,FALSE,FALSE
1,397.5,3,89.5,8,1,0.066666667,3,0,LOW,May,3,2,1,6,Returning_Visitor,TRUE,FALSE
2,16.5,0,0,5,3,0,2,0,LOW,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
2,30,0,0,10,0,0.016666667,1,0,LOW,May,3,6,3,3,New_Visitor,FALSE,FALSE
6,60,1,30,51,2,0.003636364,0,202453697,LOW,May,2,4,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1,0.025,2,0,LOW,May,3,2,6,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1,0.025,3,0,LOW,May,2,2,3,3,Returning_Visitor,FALSE,FALSE
1,22.75,0,0,16,3,0,0,17991,LOW,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,LOW,May,1,1,1,3,Returning_Visitor,TRUE,FALSE
4,46.5,0,0,34,3,0,0,0,HIGH,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,3,0,3,0,HIGH,May,1,1,1,3,Returning_Visitor,FALSE,FALSE
3,27,0,0,21,1,0.015384615,2,1094723077,HIGH,May,2,2,1,3,Returning_Visitor,FALSE,TRUE
3,23,0,0,5,0,0,0,0,LOW,May,2,2,6,18,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,3,0.010526316,2,0,HIGH,May,2,4,1,3,Returning_Visitor,FALSE,FALSE
3,62,0,0,13,3,0.0125,1,0,LOW,May,3,2,3,2,New_Visitor,FALSE,FALSE
2,102,0,0,13,3,0,1,0,LOW,May,2,2,4,3,New_Visitor,TRUE,FALSE
0,0,0,0,13,1,0.030769231,3,0,HIGH,May,1,1,4,2,Returning_Visitor,FALSE,FALSE
3,61,0,0,79,2,0.006097561,1,0,LOW,May,2,2,1,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,HIGH,May,2,5,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,May,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,3,0,0,4600643478,LOW,May,2,2,4,4,New_Visitor,TRUE,TRUE
7,2384666667,7,300.9,33,2,0.0055,2,808269,LOW,May,2,1,1,4,Returning_Visitor,TRUE,FALSE
1,92,0,0,117,2,0.006896552,2,0,LOW,May,2,6,4,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,6,0,0,2,0,LOW,May,2,6,3,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,3,0,1,0,LOW,May,2,2,2,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,1,0,1,0,LOW,May,2,4,8,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,36,3,0.010810811,2,0,NORMAL,May,4,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,18,1,0.011764706,1,0,NORMAL,May,1,2,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,2,0.030769231,3,0,HIGH,May,2,2,5,3,Returning_Visitor,FALSE,FALSE
9,1759333333,0,0,28,3,0.005882353,1,0,HIGH,May,2,2,5,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,22,3,0.018181818,2,0,HIGH,May,2,2,4,13,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,May,1,1,1,3,Returning_Visitor,TRUE,FALSE
4,47,0,0,29,3,0,1,0,LOW,May,2,4,2,2,Returning_Visitor,FALSE,FALSE
4,92,0,0,19,2,0.012121212,1,3206509091,LOW,May,3,2,3,3,Returning_Visitor,FALSE,FALSE
1,4,0,0,13,2,0.033333333,3,0,LOW,May,2,2,3,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0,1,0,LOW,May,2,4,1,2,New_Visitor,TRUE,FALSE
0,0,0,0,15,3,0.006666667,2,0,HIGH,May,2,2,7,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,3,0.083333333,3,0,NORMAL,May,2,2,1,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1,0.015,2,0,LOW,May,3,2,1,1,Returning_Visitor,FALSE,FALSE
2,6753333333,0,0,46,2,0,0,0,HIGH,May,2,4,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0.2,3,0,HIGH,May,3,2,4,3,Returning_Visitor,FALSE,FALSE
2,37,1,18,25,3,0,0,0,LOW,May,2,2,2,2,Returning_Visitor,TRUE,FALSE
2,129,0,0,31,3,0.011827957,2,1811148387,LOW,May,3,2,6,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,21,2,0.023809524,2,0,LOW,May,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,0,0.085714286,3,0,LOW,May,2,4,3,3,Returning_Visitor,FALSE,FALSE
